stream_id,hand_index,timestamp[ns],x_min[pixel],x_max[pixel],y_min[pixel],y_max[pixel],visibility_ratio[%]
214-1,0,57003141596769,876.0,1135.0,1137.0,1289.0,0.981781208499336
214-1,1,57003141596769,600.0,987.0,304.0,660.0,1.0
214-1,0,57003174928010,876.0,1134.0,1137.0,1289.0,0.9823856100795756
214-1,1,57003174928010,593.0,986.0,278.0,626.0,1.0
214-1,0,57003208259249,877.0,1136.0,1137.0,1289.0,0.9836810576327205
214-1,1,57003208259249,587.0,985.0,255.0,594.0,1.0
214-1,0,57003243344439,877.0,1137.0,1136.0,1289.0,0.9839525984446365
214-1,1,57003243344439,582.0,984.0,234.0,563.0,1.0
214-1,0,57003274895695,876.0,1139.0,1136.0,1289.0,0.9846261069203017
214-1,1,57003274895695,578.0,983.0,219.0,537.0,1.0
214-1,0,57003308230505,876.0,1139.0,1137.0,1288.0,0.984981789908745
214-1,1,57003308230505,574.0,983.0,204.0,515.0,1.0
214-1,0,57003341561392,875.0,1140.0,1136.0,1288.0,0.9851220804630497
214-1,1,57003341561392,569.0,982.0,191.0,497.0,1.0
214-1,0,57003374892564,875.0,1142.0,1136.0,1288.0,0.9854807965283692
214-1,1,57003374892564,567.0,980.0,182.0,479.0,1.0
214-1,0,57003408213572,875.0,1143.0,1136.0,1288.0,0.9857817990871268
214-1,1,57003408213572,565.0,977.0,174.0,461.0,1.0
214-1,0,57003441546464,875.0,1144.0,1137.0,1288.0,0.9859098228663447
214-1,1,57003441546464,563.0,975.0,168.0,440.0,1.0
214-1,0,57003474871193,875.0,1142.0,1138.0,1289.0,0.9856953429501346
214-1,1,57003474871193,560.0,974.0,147.0,415.0,1.0
214-1,0,57003508194679,875.0,1142.0,1139.0,1290.0,0.9848642588291824
214-1,1,57003508194679,556.0,973.0,118.0,386.0,1.0
214-1,0,57003541527950,876.0,1141.0,1138.0,1289.0,0.9848327197054586
214-1,1,57003541527950,554.0,973.0,88.0,356.0,1.0
214-1,0,57003574859116,876.0,1142.0,1136.0,1289.0,0.9853147132967869
214-1,1,57003574859116,554.0,975.0,59.0,324.0,1.0
214-1,0,57003608218718,876.0,1142.0,1138.0,1289.0,0.9859426459956623
214-1,1,57003608218718,557.0,978.0,33.0,290.0,1.0
214-1,0,57003641545995,877.0,1141.0,1140.0,1291.0,0.9870923363275876
214-1,1,57003641545995,563.0,982.0,12.0,270.0,1.0
214-1,0,57003674876772,879.0,1141.0,1141.0,1292.0,0.9882669274016133
214-1,1,57003674876772,572.0,985.0,-3.0,260.0,0.9982351705301492
214-1,0,57003708199349,879.0,1140.0,1142.0,1293.0,0.9881351771540791
214-1,1,57003708199349,583.0,987.0,-14.0,251.0,0.9797116224876201
