timecode_ns,devicetime_ns
57003141596769,113703359151124
57003141683894,113703359238249
57003174928010,113703392482161
57003175012099,113703392566249
57003208259249,113703425813199
57003208340299,113703425894249
57003241668397,113703459222249
57003243344439,113703460898286
57003274895695,113703492449449
57003274996495,113703492550249
57003308230505,113703525784161
57003308324594,113703525878249
57003341561392,113703559114949
57003341652692,113703559206249
57003374892564,113703592445999
57003374980815,113703592534249
57003408213572,113703625766824
57003408308998,113703625862249
57003441546464,113703659099574
57003441637139,113703659190249
57003474871193,113703692424161
57003474965281,113703692518249
57003508194679,113703725747536
57003508293392,113703725846249
57003541527950,113703759080749
57003541621450,113703759174249
57003574859116,113703792411749
57003574949616,113703792502249
57003608218718,113703825771199
57003608309768,113703825862249
57003641545995,113703859098324
57003641637920,113703859190249
57003674876772,113703892428949
57003674966072,113703892518249
57003708199349,113703925751374
57003708294224,113703925846249
57003741530163,113703959082036
57003741622376,113703959174249
57003774861324,113703992413074
57003774950499,113703992502249
57003808197094,113704025748786
57003808310558,113704025862249
57003841546357,113704059098036
57003841638569,113704059190249
57003874874728,113704092426536
57003874966443,113704092518249
57003908204871,113704125756249
57003908294871,113704125846249
57003941526759,113704159078249
57003941622757,113704159174249
57003974892265,113704192443949
57003974950566,113704192502249
57004008215217,113704225766199
57004008311267,113704225862249
57004041548674,113704259099574
57004041639350,113704259190249
57004074869841,113704292420624
57004074967466,113704292518249
57004108201033,113704325751699
57004108295583,113704325846249
57004141528521,113704359079036
57004141623735,113704359174249
57004174856018,113704392406324
57004174951943,113704392502249
57004208183478,113704425733661
57004208280067,113704425830249
57004241544577,113704459094499
57004241640327,113704459190249
57004274871981,113704492421824
57004274968407,113704492518249
57004308199398,113704525749161
57004308296486,113704525846249
57004341526825,113704559076499
57004341624575,113704559174249
57004374857987,113704592407536
57004374952700,113704592502249
57004408190789,113704625740199
57004408280840,113704625830249
57004441519641,113704659068911
57004441608979,113704659158249
57004474827319,113704692376449
57004474937119,113704692486249
57004508169883,113704725718874
57004508265259,113704725814249
57004541545773,113704759094624
57004541641398,113704759190249
57004574876950,113704792425661
57004574969538,113704792518249
57004608206214,113704825754786
57004608297678,113704825846249
57004641527409,113704859075824
